Noun,Frequency,English
闪电,531.0,lightning
料,526.0,material
火箭,526.0,rocket
袜子,525.0,sock
做法,524.0,practice
社交,523.0,social contact
沙滩,523.0,beach
入口,522.0,entrance
团体,522.0,group
轮胎,522.0,tire
眼泪,521.0,tears
村,521.0,village
日期,520.0,date
战场,520.0,battlefield
摩托车,520.0,motorcycle
无线电,519.0,radio
鹿,519.0,deer
嘴唇,518.0,lips
形式,518.0,form
现象,517.0,phenomenon
怪人,517.0,wack
头部,516.0,head
领域,516.0,field
双胞胎,516.0,twin
玩偶,516.0,doll
清单,516.0,checklist
电池,514.0,battery
笑容,514.0,smile
价,514.0,price
厅,514.0,hall
居民,514.0,resident
蜡烛,513.0,candle
亲人,513.0,relatives
家乡,513.0,hometown
棺材,512.0,coffin
精神病,512.0,mental illness
可卡因,512.0,cocaine
意志,511.0,will
香,511.0,fragrant
情形,511.0,situation
所,511.0,place
前途,511.0,future
牛排,511.0,steak
手表,511.0,watch
领带,511.0,tie
立场,511.0,position
隧道,510.0,tunnel
导弹,510.0,missile
野兽,509.0,beast
本事,509.0,ability
肥,509.0,fat
爱人,508.0,spouse
指示,508.0,instruct
未婚妻,507.0,fiancée
双手,507.0,hands
巫师,506.0,wizard
石油,505.0,oil
理,504.0,reason
老天爷,503.0,god
奶油,503.0,cream
耳,503.0,ear
姓名,503.0,name
瓶子,502.0,bottle
叛徒,502.0,traitor
资源,502.0,resource
模式,501.0,model
鸡肉,500.0,chicken
教师,500.0,teacher
风暴,499.0,storm
中士,499.0,sergeant
外表,498.0,appearance
法医,497.0,forensic
小事,497.0,trivial matter
国会,495.0,congress
房租,495.0,rent
数据库,494.0,database
腰,493.0,waist
街道,492.0,street
医师,491.0,physician
大海,491.0,sea
成人,490.0,aldult
白宫,490.0,white house
实验,489.0,experiment
女神,489.0,goddess
胆小鬼,488.0,coward
节奏,488.0,rhythm
亲戚,487.0,relative
歌词,487.0,lyrics
高尔夫,487.0,golf
瓦,487.0,watt
泥,487.0,mud
枕头,487.0,pillow
香水,487.0,perfume
才华,486.0,talent
外婆,486.0,grandmother
地震,486.0,earthquake
机票,486.0,air tickets
早饭,486.0,breakfast
情节,485.0,plot
警员,485.0,police officer
死因,484.0,cause of death
武士,484.0,warrior
人体,484.0,human body
屏幕,483.0,screen
指令,483.0,instruction
演唱会,482.0,concert
边缘,482.0,edge
孙子,481.0,grandson
荡妇,480.0,slut
地位,480.0,status
住处,480.0,residence
靴子,480.0,boots
车辆,479.0,vehicle
火鸡,479.0,turkey
同伙,478.0,accomplice
账户,478.0,account
井,478.0,well
图像,478.0,image
股票,477.0,stock
负担,477.0,burden
细胞,476.0,cell
潜力,475.0,potential
行业,475.0,industry
开头,475.0,beginning
外遇,474.0,affair
主持人,473.0,host
沙拉,473.0,salad
举动,473.0,move
鸽子,472.0,pigeon
少女,472.0,girl
戏剧,472.0,drama
保镖,471.0,bodyguard
执照,471.0,license
热线,471.0,hotline
小队,471.0,squad
军人,470.0,soldier
身份证,469.0,id card
财富,468.0,wealth
打算,468.0,intend
政策,468.0,policy
类,468.0,kind
汽油,468.0,gasoline
八卦,468.0,gossip
侄子,467.0,nephew
良心,467.0,conscience
舞步,466.0,dance steps
脱衣舞,465.0,striptease
恤,465.0,shirt
卡片,465.0,card
空军,465.0,air force
后门,464.0,back door
果汁,463.0,juice
报道,463.0,report
毛巾,462.0,towel
尊严,462.0,dignity
未婚夫,462.0,fiancé
营,462.0,camp
义务,461.0,obligation
芯片,461.0,chip
核弹,461.0,nuclear bomb
单位,461.0,unit
收音机,460.0,radio
手铐,460.0,handcuffs
平民,459.0,civilian
论文,459.0,paper
作者,459.0,author
遗嘱,459.0,will
伴侣,458.0,companion
体重,458.0,weight
口味,457.0,taste
舌,457.0,tongue
小朋友,456.0,kid
肿瘤,456.0,tumor
穿着,456.0,wear
名声,455.0,reputation
木头,455.0,wood
连,455.0,even
预算,455.0,budget
气味,455.0,odor
贡献,455.0,contribute
工作室,455.0,studio
余生,454.0,rest of life
图片,454.0,picture
首席,454.0,chief
患者,454.0,patient
阴影,453.0,shadow
影片,453.0,film
高手,453.0,master
界,452.0,boundary
村子,452.0,village
贷款,452.0,loan
滋味,452.0,taste
海洋,452.0,ocean
右手,452.0,right hand
手法,452.0,technique
创伤,451.0,trauma
小屋,450.0,cabin
全家,449.0,whole family
假设,449.0,hypothesis
蝙蝠,449.0,bat
人数,448.0,number of people
浑身,448.0,all over
州长,447.0,governor
安全带,447.0,seat belt
公车,447.0,bus
名片,445.0,business card
商场,444.0,shopping mall
炸药,444.0,dynamite
鸭子,444.0,duck
驾照,444.0,drving license
移民,444.0,migrant
典礼,444.0,ceremony
人才,443.0,talent
巴士,443.0,bus
战术,443.0,tactics
局面,442.0,situation
香烟,441.0,cigarette
浪,441.0,wave
按钮,440.0,button
超市,440.0,supermarket
鸡尾酒,440.0,cocktail
公爵,439.0,duke
带子,439.0,tape
瘾君子,439.0,drug addict
厨师,438.0,chef
田,438.0,field
牢房,438.0,cell
场面,436.0,scene
佛,436.0,buddha
报应,435.0,retribution
脑海,435.0,mind
轿车,434.0,car
植物,434.0,plant
合约,434.0,contract
镇子,434.0,town
官员,433.0,official
时空,432.0,time and space
塑料,432.0,plastic
神经病,432.0,neuropathy
服务员,431.0,waiter
弱点,430.0,weakness
祖父,430.0,grandfather
月亮,429.0,moon
企业,429.0,enterprise
雇员,429.0,employee
家具,429.0,furniture
恶作剧,429.0,mischief
蜜月,429.0,honeymoon
狮子,428.0,lion
高潮,428.0,climax
值,428.0,value
旅途,428.0,journey
信念,427.0,belief
音乐会,427.0,concert
温度,427.0,temperature
盐,427.0,salt
老家伙,427.0,old guy
火焰,427.0,flame
瓶,426.0,bottle
青少年,426.0,teenager
皇家,426.0,royal
市民,426.0,citizen
意味,425.0,mean
故障,425.0,fault
女巫,425.0,witch
金子,425.0,gold
后台,425.0,backstage
伯爵,425.0,count
双方,424.0,both sides
数量,424.0,quantity
舱,424.0,cabin
僵尸,423.0,zombie
牌子,422.0,brand
处女,422.0,virgin
球场,420.0,court
浴缸,420.0,tub
夜总会,418.0,nightclub
候选人,418.0,candidate
棕色,418.0,brown
勇士,418.0,warrior
官方,418.0,official
坟墓,418.0,grave
牙医,418.0,dentisit
计算机,417.0,computer
舰队,417.0,fleet
曲子,417.0,song
背,417.0,back
大象,416.0,elephant
贵族,416.0,noble
晚宴,416.0,dinner
魔力,416.0,magic
爱好,415.0,hobby
锁,415.0,lock
普通人,414.0,ordinary people
因素,414.0,factor
疗法,412.0,therapy
疑问,412.0,doubt
核,412.0,nuclear
条子,411.0,tiaozi
终点,411.0,end
雾,411.0,fog
例子,411.0,example
纳粹,411.0,nazi
会议室,410.0,conference room
董事会,410.0,board of directors
豆,409.0,bean
口香糖,409.0,chewing gum
火炬,409.0,torch
生死,409.0,life and death
花样,409.0,tricks
仆人,408.0,servant
懦夫,407.0,coward
港,407.0,port
大人物,406.0,big shot
大众,406.0,public
土豆,406.0,potato
德克萨斯,405.0,texas
工程,405.0,project
裂缝,405.0,crack
舞伴,404.0,dance partner
翅膀,404.0,wing
掌声,404.0,applause
提议,404.0,proposal
台步,403.0,taibu
奖学金,402.0,scholarship
负责人,402.0,person in charge
年度,401.0,year
丛林,401.0,jungle
列车,401.0,train
听证会,401.0,hearing
实习生,401.0,intern
香肠,400.0,sausage
师傅,400.0,master
线路,400.0,line
纸条,398.0,note
马戏团,397.0,circus
请求,396.0,ask
商人,396.0,merchant
机械,396.0,mechanical
噪音,395.0,noise
笔记本,395.0,notebook
单子,395.0,list
马桶,395.0,toilet
少年,395.0,juvenile
香蕉,395.0,banana
军官,395.0,officer
把戏,394.0,trick
手头,393.0,on hand
蝴蝶,393.0,butterfly
下巴,392.0,jaw
真话,392.0,truth
裁判,392.0,referee
武装,392.0,armed
孤儿,392.0,orphan
影像,391.0,image
羞耻,391.0,shame
总裁,391.0,president
茱,391.0,zhu
口径,391.0,caliber
倾向,390.0,tendency
轨道,390.0,track
尾巴,390.0,tail
帐篷,390.0,tent
视线,390.0,sight
抽屉,389.0,drawer
头绪,389.0,clue
点心,389.0,dessert
剪刀,389.0,scissors
血压,389.0,blood pressure
氧气,389.0,oxygen
箭,389.0,arrow
困境,389.0,dilemma
会员,388.0,member
理想,388.0,ideal
巨人,387.0,giant
马车,387.0,carriage
拖车,387.0,trailer
中学,387.0,middle school
共同点,385.0,common ground
风景,385.0,landscape
海洛因,384.0,heroin
大厦,384.0,building
电视剧,383.0,tv drama
假发,383.0,wig
窝,382.0,nest
服务生,382.0,waiter
地步,382.0,situation
原地,382.0,in situ
电力,382.0,electricity
事务,381.0,affairs
宾馆,381.0,hotel
结尾,380.0,ending
院子,380.0,courtyard
司法,380.0,judicial
客厅,380.0,living room
轮椅,379.0,wheelchair
结构,379.0,structure
新人,379.0,newcomer
谣言,379.0,rumor
鹰,379.0,eagle
十字架,378.0,cross
被害人,378.0,victim
管道,378.0,pipeline
大小,378.0,size
版本,378.0,version
证件,377.0,documents
报酬,377.0,remuneration
动静,377.0,movement
校园,377.0,campus
教室,377.0,classroom
后院,376.0,backyard
代码,375.0,code
能源,375.0,energy
谎话,375.0,lie
大使,374.0,ambassador
胃口,374.0,appetite
上衣,373.0,jacket
人性,373.0,human nature
雪茄,373.0,cigar
童子军,371.0,boy scout
手腕,370.0,wrist
特征,370.0,feature
额,370.0,forehead
实际,369.0,actual
前科,369.0,criminal record
真名,369.0,real name
歌声,368.0,singing
老虎,368.0,tiger
议会,368.0,parliament
蛋蛋,367.0,balls
大火,367.0,fire
咒语,367.0,spell
药品,366.0,drug
念头,366.0,idea
异性,366.0,opposite sex
游艇,366.0,yacht
小鬼,365.0,imp
逻辑,365.0,logic
肥皂,364.0,soap
圈套,364.0,trap
酒鬼,364.0,drunkard
物理,364.0,physics
遗产,364.0,heritage
派,363.0,group
小时候,363.0,childhood
姓,363.0,surname
薯条,363.0,fries
毯子,363.0,blanket
感应,362.0,induction
预感,362.0,premonition
回合,362.0,round
人格,362.0,personality
前夫,362.0,ex-husband
账单,361.0,bill
用品,361.0,supplies
罐子,361.0,jar
车牌,360.0,license plate
思维,360.0,thinking
帮手,360.0,helper
质量,360.0,quality
头盔,360.0,helmet
心理学,359.0,psychology
教会,358.0,church
真理,358.0,truth
级别,358.0,level
马路,358.0,road
赛季,357.0,season
情景,357.0,scene
病情,357.0,illness
毒药,356.0,poison
学期,356.0,semester
概念,356.0,concept
收获,355.0,harvest
岩石,355.0,rock
选票,355.0,vote
学位,354.0,bachelor of science
宾,354.0,bin
船员,354.0,crew
嫌疑,354.0,suspect
光明,353.0,bright
星系,353.0,galaxy
泳池,353.0,swimming pool
证物,352.0,exhibit
意愿,352.0,willingness
元首,352.0,head of state
睡衣,352.0,pajamas
扳机,351.0,trigger
刀子,351.0,knife
娘娘腔,350.0,sissy
枪支,350.0,firearms
人间,350.0,world
嗓音,349.0,voice
民众,349.0,people
誓言,349.0,oath
款,349.0,payment
招,348.0,trick
蔬菜,348.0,vegetable
左手,347.0,left hand
拳头,347.0,fist
语气,347.0,tone
象征,346.0,symbol
成果,346.0,achievements
难度,346.0,difficulty
手术室,346.0,operating room
设施,346.0,facility
行星,346.0,planet
赌注,346.0,bet
秩序,345.0,order
形状,345.0,shape
先知,345.0,prophet
男士,345.0,men
猎人,345.0,hunter
傻事,344.0,stupid thing
短裤,344.0,shorts
本能,343.0,instinct
胶,343.0,glue
组合,343.0,combination
门票,343.0,tickets
发明,343.0,invention
卫生间,342.0,bathroom
中校,342.0,lieutenant colonel
军方,342.0,military
影子,342.0,shadow
坑,342.0,pit
成分,342.0,element
别墅,341.0,villa
网球,341.0,tennis
买家,340.0,buyer
国土,340.0,land
诺言,340.0,promise
大叔,340.0,uncle
粉,340.0,pink
笼子,340.0,cage
扑克,339.0,poker
火星,339.0,mars
臀部,339.0,buttocks
狙击手,339.0,sniper
青蛙,339.0,frog
像,339.0,picture
小学,339.0,primary school
来信,339.0,letter
元素,339.0,element
房屋,338.0,houses
税,338.0,tax
蜜,338.0,honey
底线,338.0,bottom line
阁楼,337.0,attic
主教,337.0,bishop
法案,337.0,bill
村庄,337.0,village
眼光,336.0,vision
标签,336.0,label
宿舍,336.0,dormitory
细菌,336.0,bacteria
仪器,336.0,instrument
表格,336.0,sheet
客房,336.0,guest room
队友,336.0,teammate
毛衣,335.0,sweater
棕榈,335.0,palm
星际,335.0,interstellar
急诊室,335.0,emergency room
低调,335.0,low profile
坦克,334.0,tank
婚纱,334.0,wedding dress
缝,334.0,seam
首相,334.0,prime minister
死神,333.0,grim reaper
金色,333.0,gold
旗,332.0,flag
管理员,332.0,administrator
大战,332.0,war
王国,332.0,kingdom
符号,332.0,symbol
肾,331.0,kidney
见证,331.0,witness
公子,330.0,young master
纤维,330.0,fiber
奖品,330.0,prize
尿布,330.0,diaper
梦幻,330.0,dream
刹车,330.0,brake
下落,329.0,whereabouts
见识,329.0,experience
柜子,329.0,cabinet
心思,329.0,thought
高度,328.0,high
需求,328.0,need
信封,328.0,envelope
终身,328.0,lifelong
墓地,328.0,cemetery
福利,327.0,welfare
比,327.0,compare
畜生,327.0,brute
宝藏,327.0,treasure
雕像,326.0,statue
病房,326.0,ward
财务,325.0,finance
主妇,325.0,housewife
局势,325.0,situation
军士,325.0,sergeant
怪胎,325.0,freak
大衣,325.0,coat
菜单,325.0,menu
业务,325.0,business
顺序,325.0,order
葡萄酒,324.0,wine
模样,324.0,appearance
柠檬,324.0,lemon
峡谷,324.0,canyon
肉体,324.0,flesh
频率,323.0,frequency
收据,323.0,receipt
枪声,323.0,gunfire
肝脏,323.0,liver
青年,323.0,youth
含义,323.0,meaning
大便,322.0,defecate
筹码,322.0,chips
徽章,321.0,badge
骗局,321.0,scam
社,321.0,society
动物园,321.0,zoo
安全感,321.0,sense of security
强盗,320.0,robber
圈子,320.0,circle
工程师,320.0,engineer
桃,319.0,peach
草莓,319.0,strawberry
大陆,319.0,mainland
燃料,319.0,fuel
神话,319.0,myth
天下,318.0,world
脚趾,318.0,toe
流浪汉,318.0,tramp
大块头,318.0,big guy
份子,317.0,element
待遇,317.0,treatment
语音,317.0,voice
血统,316.0,bloodline
曲,316.0,song
锅,316.0,pot
钞票,316.0,banknote
血管,316.0,blood vessel
姨妈,316.0,aunt
传言,315.0,rumor
小鸟,315.0,birdie
核心,314.0,core
好日子,314.0,good days
气色,314.0,complexion
虾,314.0,shrimp
脸色,314.0,face
电源,314.0,power supply
琴,314.0,piano
文字,313.0,word
新郎,313.0,bridegroom
法子,312.0,method
童话,312.0,fairy tale
谜,312.0,puzzle
诗人,312.0,poet
装饰,312.0,decorate
鲜血,312.0,blood
数目,312.0,number
保龄球,312.0,bowling
亚伦,312.0,aaron
职员,312.0,staff
家园,312.0,home
电视机,311.0,tv set
意图,311.0,intention
月球,311.0,moon
丫头,311.0,girl
姑妈,311.0,aunt
下场,310.0,end
行踪,310.0,whereabouts
手下,310.0,subordinates
吸引力,310.0,attraction
本质,310.0,nature
乳房,310.0,breast
伤痕,310.0,scars
光线,310.0,light
偏见,310.0,bias
麻,310.0,numb
阴道,309.0,vaginal
麦克风,309.0,microphone
老二,309.0,second child
焦点,308.0,focus
战略,308.0,strategy
环,308.0,ring
季节,308.0,season
水管,308.0,water pipe
弟兄,308.0,brother
水晶,307.0,crystal
编剧,307.0,screenwriter
手脚,307.0,hands and feet
肩,307.0,shoulder
手册,306.0,manual
外国,306.0,foreign
管家,306.0,housekeeper
脉搏,306.0,pulse
剧场,306.0,theater
衬衣,306.0,shirt
出路,305.0,way out
定义,305.0,definition
花生,305.0,peanut
嘉宾,305.0,guest
紫色,305.0,purple
死人,304.0,dead
头骨,304.0,skull
魂,304.0,soul
纪念日,304.0,anniversary
动脉,304.0,artery
瓜,304.0,melon
仇恨,304.0,hatred
艺术品,303.0,artwork
形势,302.0,situation
终极,302.0,ultimate
山羊,302.0,goat
软件,301.0,software
真人,301.0,real person
胸口,301.0,chest
青春,300.0,youth
相片,300.0,photo
枪手,300.0,shooter
共和党,300.0,republican party
会计,300.0,accounting
零件,300.0,component
南瓜,300.0,pumpkin
勋章,300.0,medal
背包,299.0,backpack
道具,299.0,props
宪法,299.0,constitution
水手,298.0,sailor
雷达,298.0,radar
极限,298.0,limit
面子,298.0,face
胆,298.0,courage
气球,298.0,balloon
煎饼,298.0,pancakes
工业,298.0,industry
基督,297.0,christ
桶,297.0,bucket
人家,297.0,people
耻辱,297.0,shame
耳环,297.0,earrings
港口,297.0,port
电线,296.0,electric wire
信件,296.0,letter
本性,296.0,nature
豆子,296.0,beans
男孩子,295.0,boy
面条,295.0,noodle
画家,295.0,painter
草坪,295.0,lawn
行程,295.0,journey
甲,295.0,first
古董,295.0,antique
性生活,294.0,sex life
穷人,294.0,poor
基金会,294.0,foundation
体力,294.0,physical strength
商,294.0,business
财宝,293.0,treasure
情侣,293.0,couple
气体,292.0,gas
城镇,292.0,town
知觉,292.0,perception
冰激凌,292.0,ice cream
苍蝇,291.0,fly
灰色,291.0,grey
大腿,291.0,thigh
下水道,291.0,sewer
信箱,291.0,mailbox
精子,291.0,sperm
面孔,290.0,face
好友,290.0,friends
通行证,290.0,pass
辩护律师,290.0,defense lawyer
烤肉,290.0,bbq
黄油,290.0,butter
单词,289.0,word
球迷,289.0,fan
缺点,289.0,shortcoming
爱河,288.0,love river
物体,288.0,object
头衔,288.0,title
集体,288.0,collective
极端,288.0,extreme
房地产,288.0,real estate
狐狸,288.0,fox
洋葱,288.0,onion
激光,288.0,laser
途径,288.0,way
姐,287.0,sister
高跟鞋,287.0,high heel
脚踝,287.0,ankle
加油站,287.0,gas station
丑闻,287.0,scandal
硬盘,287.0,harddisk
得分,287.0,score
精英,286.0,elite
警徽,286.0,police badge
画廊,286.0,gallery
身子,286.0,body
遭遇,286.0,encounter
芭蕾,286.0,ballet
口信,286.0,oral message
监视器,286.0,monitor
乳头,286.0,nipple
技能,286.0,skill
男女,285.0,men and women
急事,285.0,urgent matter
架子,285.0,shelf
寡妇,285.0,widow
化妆品,285.0,cosmetic
目光,285.0,look
现代舞,285.0,modern dance
甲板,285.0,deck
举止,285.0,manner
首都,284.0,capital
决心,284.0,determination
医学院,284.0,medical school
名誉,284.0,reputation
笔记,284.0,notes
服务器,283.0,server
精神病院,283.0,mental hospital
路障,283.0,roadblock
挑战赛,283.0,challenge
生理,283.0,physiological
容器,283.0,container
靓,283.0,pretty
空白,282.0,blank
窃听器,282.0,bug
陆战队,282.0,marine corps
音乐剧,282.0,musical
皮带,281.0,belt
伤疤,281.0,scar
系列,281.0,series
军团,280.0,legion
嗷,280.0,ouch
场所,280.0,place
祖国,280.0,motherland
公事,280.0,official business
猎物,279.0,prey
县,279.0,county
典型,279.0,typical
海报,279.0,poster
常规,278.0,conventional
热,278.0,hot
长相,278.0,appearance
过错,278.0,fault
表弟,277.0,cousin
恶棍,277.0,douchebag
预言,277.0,prophecy
高层,277.0,high-rise
床单,276.0,sheet
团伙,276.0,gang
摄影机,276.0,camera
蠢事,276.0,stupid thing
陪审员,276.0,juror
文学,276.0,literature
学费,275.0,tuition fee
面部,275.0,face
火花,274.0,spark
债,274.0,debt
目的地,273.0,destination
情报局,273.0,intelligence bureau
龙虾,273.0,lobster
坐标,273.0,coordinate
彩虹,273.0,rainbow
功课,273.0,homework
榜样,273.0,example
肤色,273.0,color
苏打,273.0,soda
日程,273.0,schedule
巨星,272.0,superstar
条款,272.0,terms
制度,272.0,system
气息,272.0,breath
几率,271.0,probability
救世主,271.0,savior
健身房,271.0,gym
侄女,271.0,niece
谋杀罪,271.0,murder
海底,271.0,seabed
房产,271.0,real estate
乐园,270.0,paradise
场地,269.0,site
恐龙,269.0,dinosaur
棍子,269.0,stick
魔术师,269.0,magician
阴茎,269.0,penis
液体,269.0,liquid
处方,269.0,prescription
炮,269.0,gun
特权,269.0,privilege
势力,268.0,power
管子,268.0,tube
老家,268.0,hometown
住所,268.0,residence
才能,268.0,talent
曲棍球,267.0,hockey
沙子,267.0,sand
锤子,267.0,hammer
干酪,267.0,cottage cheese
资产,267.0,assets
杰作,266.0,masterpiece
套房,266.0,suite
富翁,266.0,rich man
飓风,266.0,hurricane
饥饿,266.0,hunger
导师,266.0,tutor
病例,266.0,cases
征兆,266.0,sign
阳台,265.0,balcony
牛仔裤,265.0,jeans
财政,265.0,financial
火山,265.0,volcano
上级,265.0,superior
逃犯,265.0,fugitive
心意,265.0,mind
缺陷,264.0,defect
火腿,264.0,ham
差别,264.0,difference
冰块,264.0,ice cubes
火力,264.0,firepower
使者,264.0,messenger
老太太,263.0,old lady
部位,263.0,parts
称呼,263.0,call
言论,263.0,speech
凤凰,263.0,phoenix
简历,263.0,cv
好戏,263.0,good show
贱货,263.0,bitch
门锁,263.0,door lock
赎金,263.0,ransom
身高,263.0,height
利润,263.0,profit
小伙,263.0,young man
后背,263.0,back
零钱,262.0,small change
收视率,262.0,ratings
爹,262.0,father
副作用,262.0,side effect
发音,262.0,pronounce
窗帘,262.0,curtain
同情心,262.0,compassion
脂肪,262.0,fat
磁带,261.0,tape
综合症,261.0,syndrome
重量,261.0,weight
瘾,261.0,addiction
咖啡店,261.0,coffee shop
烟雾,261.0,smoke
布丁,261.0,pudding
凶杀案,260.0,homicide
睾丸,260.0,testis
前提,260.0,premise
参赛者,260.0,contestants
岗位,260.0,post
正事,260.0,business
妖,260.0,demon
木偶,260.0,puppet
信徒,260.0,believer
疤,260.0,scar
诡计,260.0,trick
飙,259.0,soar
生化,259.0,biochemistry
商品,259.0,commodity
滑板,259.0,skateboard
债务,259.0,debt
余地,259.0,room
片段,259.0,fragment
钩,259.0,hook
私事,258.0,private matters
洞穴,258.0,cave
不幸,258.0,unlucky
书店,258.0,bookstore
摩托,258.0,motorcycle
口供,257.0,oral confession
首领,257.0,leader
台阶,257.0,steps
民族,257.0,nationality
听众,257.0,audience
性关系,257.0,sexual relations
脚步,256.0,pace
铃声,256.0,ring
光芒,256.0,light
肋骨,256.0,rib cage
弹药,256.0,ammunition
幽默感,256.0,sense of humor
麦片,256.0,oatmeal
难关,256.0,difficulties
爆米花,255.0,popcorn
粉色,255.0,pink
辣椒,255.0,chili
大地,254.0,earth
野餐,254.0,picnic
说唱,254.0,rap
契约,254.0,contract
因果,254.0,cause and effect
尺寸,253.0,size
鹅,252.0,goose
膜,252.0,membrane
柯,252.0,ke
美梦,252.0,sweet dream
前门,252.0,front door
奖杯,252.0,trophy
胸罩,251.0,bra
优点,251.0,advantage
老鹰,251.0,eagle
好意,251.0,kindness
记号,251.0,mark
诱饵,251.0,bait
莓,251.0,raspberry
是非,251.0,right and wrong
人心,251.0,people's hearts
空调,251.0,air conditioner
真心,251.0,sincere
特警,250.0,swat
彩票,250.0,lottery
海湾,250.0,bay
照相机,250.0,camera
垃圾桶,250.0,garbage can
体温,250.0,body temperature
笑声,250.0,laughter
家属,249.0,family members
祸,249.0,disaster
键,249.0,key
汽水,249.0,soda
禽兽,249.0,beast
读者,249.0,reader
豆腐,249.0,tofu
会长,249.0,president
色,249.0,color
钟头,249.0,hour
云,249.0,cloud
蚂蚁,248.0,ant
舅舅,248.0,uncle
歌剧,248.0,opera
分数,248.0,fraction
配方,248.0,formula
传真,248.0,fax
功,247.0,achievement
烂摊子,247.0,mess
罪案,247.0,crime
樱桃,247.0,cherry
鲜花,246.0,flowers
基督徒,246.0,christian
宝石,246.0,gem
企鹅,246.0,penguin
探戈,246.0,tango
圣母,246.0,our lady
传单,246.0,flyers
皇帝,245.0,emperor
农民,245.0,farmer
口红,245.0,lipstick
缘故,244.0,reason
大学生,244.0,college students
铅笔,244.0,pencil
志愿者,244.0,volunteer
毒素,244.0,toxin
镇静剂,244.0,sedative
代号,244.0,code name
后座,243.0,back seat
老头子,243.0,old man
鳄鱼,243.0,crocodile
章,243.0,chapter
铁路,243.0,railway
巫婆,242.0,witch
陆军,242.0,army
计程车,242.0,taxi
房东,241.0,landlord
方位,241.0,position
月光,241.0,moonlight
往事,241.0,past
脚印,241.0,footprint
纪念品,241.0,souvenir
害,241.0,harmful
松鼠,241.0,squirrel
侏儒,240.0,dwarf
衣柜,240.0,wardrobe
恩怨,240.0,resentment
法则,240.0,law
实情,240.0,the truth
视觉,240.0,vision
众人,240.0,everyone
肝,240.0,liver
腰带,240.0,belt
男子汉,240.0,man
哲学,240.0,philosophy
剂量,240.0,dose
功劳,240.0,credit
绰号,239.0,nickname
美金,239.0,us dollars
伴娘,239.0,bridesmaid
当局,239.0,authorities
可乐,239.0,cola
行政,238.0,administrative
红灯,238.0,red light
摇滚乐,238.0,rock music
熟人,238.0,acquaintance
葡萄,238.0,grape
原告,238.0,plaintiff
柜台,237.0,counter
货物,237.0,goods
传闻,237.0,rumor
会,237.0,meeting
瘟疫,237.0,plague
衣橱,237.0,wardrobe
高尔夫球,237.0,golf
氧,237.0,oxygen
猪头,237.0,pig head
战役,237.0,battle
机关,237.0,organ
体育馆,237.0,stadium
牧场,236.0,pasture
墙壁,236.0,wall
梯子,236.0,ladder
肾上腺,236.0,adrenal gland
猪肉,236.0,pork
龙卷风,236.0,tornado
味儿,236.0,taste
作风,236.0,style
更衣室,235.0,locker room
火车站,235.0,train station
小品,235.0,sketch
游客,235.0,tourists
漏洞,234.0,loopholes
眉毛,234.0,eyebrow
天花板,234.0,ceiling
爹地,234.0,daddy
智商,234.0,iq
脸部,233.0,face
油漆,233.0,paint
世人,233.0,worldly people
乌龟,233.0,turtle
族人,233.0,clansman
上士,233.0,sergeant
天分,233.0,talent
环保,232.0,environmental friendly
传票,232.0,summons
贝卡,232.0,becca
女仆,232.0,maid
申请,232.0,apply
政客,231.0,politician
国民,231.0,national
监护权,231.0,custody
高速公路,231.0,highway
电影院,231.0,cinema
鸟儿,231.0,birds
新生,231.0,newborn
脏话,230.0,bad language
发布会,230.0,press conference
后援,230.0,backup
步枪,230.0,rifle
特色,230.0,feature
家门,230.0,door
妓,230.0,prostitute
山谷,230.0,valley
圣人,229.0,saint
劫匪,229.0,robber
地带,229.0,zone
小弟,229.0,little brother
休息室,229.0,lounge
蟑螂,229.0,cockroach
骆驼,229.0,camel
深度,228.0,depth
兽医,228.0,veterinary
过失,228.0,fault
特点,227.0,features
图案,227.0,pattern
伞,227.0,umbrella
吗啡,227.0,morphine
卡通,226.0,cartoon
警车,226.0,police car
后代,226.0,descendants
清洁工,226.0,cleaner
纪律,226.0,discipline
羽毛,226.0,feather
汉堡包,226.0,hamburger
王后,226.0,queen
罪过,226.0,sin
赏金,226.0,bounty
条例,225.0,regulations
演播室,225.0,studio
胡萝卜,225.0,carrot
权限,225.0,permissions
色彩,225.0,color
陨石,225.0,meteorite
劲儿,225.0,jiner
性行为,224.0,sexual behavior
眉,224.0,eyebrow
围巾,224.0,scarf
蘑菇,224.0,mushroom
车厢,224.0,car
壁橱,224.0,closet
薄饼,224.0,pizza
酒馆,224.0,tavern
姑姑,224.0,aunt
警监,224.0,superintendent
木乃伊,224.0,mummy
车道,224.0,lane
战利品,224.0,loot
想象力,223.0,imagination
疫苗,223.0,vaccine
悬崖,223.0,cliff
同胞,223.0,compatriots
境地,223.0,situation
胶带,223.0,adhesive tape
心扉,223.0,open heart
橡胶,222.0,rubber
恋人,222.0,lovers
仙女,222.0,fairy
胆量,222.0,courage
精液,222.0,semen
沼泽,222.0,swamp
通告,222.0,notice
祖先,221.0,ancestor
大餐,221.0,dinner
案例,221.0,case
规律,221.0,law
珍珠,221.0,pearl
讯息,221.0,message
中间人,221.0,middleman
热水,221.0,hot water
乐器,221.0,musical instrument
法学院,221.0,law school
骨灰,221.0,ashes
含量,221.0,content
糖尿病,220.0,diabetes
野马,220.0,mustang
胎儿,220.0,fetus
孤儿院,220.0,orphanage
